number;symbol;codepoint;width;height;weight;profile_x_max;profile_y_max
1;А;u0410;50;55;782;24;34
2;Ә;u04d8;49;57;993;39;45
3;Б;u0411;38;55;884;51;31
4;В;u0412;40;55;1023;51;33
5;Г;u0413;33;55;489;51;29
6;Ғ;u0492;40;55;618;51;30
7;Д;u0414;52;69;1165;51;48
8;Е;u0415;33;55;744;51;29
9;Ё;u0401;33;69;828;58;29
10;Ж;u0416;65;55;1153;51;23
11;З;u0417;41;57;775;43;33
12;И;u0418;46;55;993;51;21
13;Й;u0419;46;71;1163;51;21
14;К;u041a;41;55;783;51;16
15;Қ;u049a;44;69;893;51;23
16;Л;u041b;48;56;828;51;29
17;М;u041c;56;55;1278;51;27
18;Н;u041d;44;55;870;51;40
19;Ң;u04a2;50;68;997;64;40
20;О;u041e;52;57;941;41;32
21;Ө;u04e8;52;57;1137;41;48
22;П;u041f;43;55;864;51;39
23;Р;u0420;37;55;739;51;30
24;С;u0421;43;57;652;41;30
25;Т;u0422;44;55;598;51;40
26;У;u0423;48;56;711;25;21
27;Ұ;u04b0;45;55;704;32;28
28;Ү;u04ae;45;55;571;32;16
29;Ф;u0424;55;56;1091;52;42
30;Х;u0425;46;55;719;24;16
31;Һ;u04ba;42;55;704;51;36
32;Ц;u0426;49;69;997;65;45
33;Ч;u0427;43;55;731;51;37
34;Ш;u0428;65;55;1311;51;61
35;Щ;u0429;70;69;1438;65;66
36;Ъ;u042a;50;55;815;51;31
37;Ы;u042b;52;55;1095;51;38
38;І;u0406;23;55;467;51;19
39;Ь;u042c;40;55;762;51;33
40;Э;u042d;43;57;793;39;32
41;Ю;u042e;69;57;1333;51;38
42;Я;u042f;41;55;915;51;31
