segment;expected;top1;s1;top2;s2;top3;s3
01;М;М;1.000000;И;0.700215;Й;0.598669
02;Е;Е;1.000000;Б;0.706291;В;0.610082
03;Н;Н;1.000000;Һ;0.642319;Ы;0.636625
04;С;С;1.000000;О;0.628412;Г;0.575636
05;Е;Е;1.000000;Б;0.706291;В;0.610082
06;Н;Н;1.000000;Һ;0.642319;Ы;0.636625
07;І;І;1.000000;Т;0.514165;Ұ;0.505847
08;Ж;Ж;0.950081;Ү;0.561092;К;0.536944
09;А;А;1.000000;Ұ;0.579813;У;0.576744
10;Қ;Қ;1.000000;Р;0.617608;В;0.566200
11;С;С;1.000000;О;0.628412;Г;0.575636
12;Ы;Ы;1.000000;Н;0.636625;Ь;0.585497
13;К;К;0.948720;М;0.560187;И;0.554319
14;Ө;Ө;1.000000;Ә;0.810673;О;0.634129
15;Р;Р;1.000000;Қ;0.617608;Г;0.599057
16;Е;Е;1.000000;Б;0.706291;В;0.610082
17;М;М;1.000000;И;0.700215;Й;0.598669
18;І;І;1.000000;Т;0.514165;Ұ;0.505847
19;Н;Н;1.000000;Һ;0.642319;Ы;0.636625
